content,sentiment
ok,1
rokok boleh,1
Bagus,0
aplikasi bagus👍👍👍,1
payah,0
"kok sekarang UI di pemutaran video jelek banget, ga enak diliat, memenuhi space. selain itu juga harus menekan tobol x di sudut biar UI nya ilang, ribet banget.",0
TOLONG DI PERBAIKI KEBANYAKAN BUG KOK KELUAR SENDIRI APP NYA,1
bagus,1
NTAP,1
Bagus,1
terlalu sering error,0
Bagus,1
kagak ada komen,0
sangat baik,1
sangat bermanfaat,1
Mantap,1
good,1
mnta tolong dibantu,1
Ok,1
andihermawan,1
nge bug setelah update tdk bisa putar vidio seperti di pause,0
bagus,1
Saya senang nonton,1
bagus sekali mantap mantap,1
"YouTube sekarang banyak bug ganggu banget lagi nonton video tiba2 black screen dan Loading padahal wifi aman di 65Mbps. iklan juga gitu lagi, ketika iklan mau muncul terjadi loading dulu yang bahkan ngebuat iklannya ga muncul gara2 udah loading aja. fiks lah ini bug fatal dan ganggu banget",0
Nice youtube,1
subtitel kok gak keluar ya?? tolong di fix dong.,0
makin kesini makin parah aja download video aja udah ngk bisa sekarang makin rusak YouTube nya,0
iklan nya parah bener,0
dia suka ngelek kalau gua pakai wifi tetangga,0
sayasukajapandramahot atau japan JAV,1
Aya Seventen,1
kenapa gak bisa di aupdate yutub saya mohon penjelasannya,0
Tapi dalam versi HP ini telah usang,1
mantap,1
apk kontl semua video ga bisa di putar cuma loading doang ajg,0
YouTube gak bisa,0
good,1
Baik sangat,1
mantap,1
sangat bagus,1
kebutuhan. saya sangat senang Adanya YouTube,1
tidak bisa di pakai,0
buat dengerin musik favorit dan karoke dll,1
tambi baik,1
youtube mantap,1
seru bisa nonton ap aja,1
ok,1
saya ingin buat vidio dari foto eh ternyata sampai 25 foto padahal seharusnya sampai 50 pls lah,0
kenapa dah komunitas di akun ku tiba-tiba ngilang dan komennya hilang juga aneh kalik...,1
tidak bisa diperbaharui,0
minta kode,1
saya tidak dapat melihat komentar pada video yang saya lihat,0
suka,1
Seruuu bangettt,1
YouTube lagi eror,0
auto translate suka eror. bahkan ada bbrp video yg ga ada opsi auto translate.,0
negara asal saya adalah Indonesia,0
sangat bagus,1
"Dari hiburan sampai tutorial edukasi berkualitas tinggi, semuanya ada di YouTube. Pemutaran videonya sangat lancar, algoritma rekomendasinya pintar, dan fitur download offline-nya sangat membantu. Benar-benar aplikasi kelas atas!",1
iklannya kurang ajar,0
makasih,1
hiburan P,1
kadang banyak gangguan,1
Ivan Hero Putro,1
aku suka sams video di YouTube nih aku kasih bintang 5,1
YouTube you now man ANDR world i no you beloowwwww you sooooo body newwww,1
update YouTube,0
sangat berguna,1
okkk,1
yutub KIKIR iklan 3x nggak bisa di skip🐦,0
"Terbaru Populer Terlama Mengatur Tanggal Nonton video cari lupa judul video trans7 tahun video lama FEBRUARI 2022 tidak ketemu sering banyak video update video baru tahun 2023 2024 2025 2026 Video Baru update video channel TV trans7 video update, YOUTUBE",1
Aku lagi kerja di luar kota jepang dan aku mau mengusahakan orang tua ku agar bahagia dan sehat selalu dan sukses dan lancar dan semoga panjang umur ya sehat selalu aku doakan ya ibu ayah dan sekuarga aku minta maaf atas kesalahan ku aku benar benar minta maaf ya ibu ayah aku cinta kalian semua,1
kenapa ini dengan youtube koq munculya gak sesuai,1
bagus dan bisa buat konsen,1
saya pas make aman aman aja tapi tolong bug nya saya tiba tiba ngelag terus setiap masuk selalu gitu tolong diperbaiki ya jadi Bintang tiga dulu,1
Ok,1
menarik,1
sangat bgs,1
arusiy,0
Saya suka saya suka,1
sangat menuaskan,1
Ini sangat seru sehingga aku kelbihan maininnya hahaha😂😂😂😂,1
heran bgt gue sama nih YouTube makin lama makin kocak jaringan kenceng tapi kadang ngstak iklan sama lag.,0
good,1
Delia . putri,1
saat saya update bagus banget tapi sedikit nge bug saya beri bintang 3 karena kekurangan saya harap YouTube bisa lebih baik🤗,1
mohon bantuan ny ngk bisa buka yutub,0
oke baik,1
bagusss,1
Soalnya gak bisa buat edit kaya tiktok di ganti kaya tiktok napa sih aku tuh gak suka tauu,0
Jos,1
Sangat bagus buat tontonan,1
kenapah nga bisa,1
kompeksi,1
kenapa saya tidak bisa membuka youtube?,1
lagu,1
bagus,1
asik,1
sangat bagus,1
makin hari makin ngeri iklannya dasar pegadang💩,0
ok lah aku suka 🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿,1
Sangat baik,1
semoga sportifitas dlm segala hal slalu dijunjung tinggi. amin yavrobbal alamin,1
jangan Ada iklan,1
baik,1
kenapa ya videonya nggak bisa di download,0
iklan ny iklan judi slot semua coba dulu iklan ny jgan slot tros,0
bagus,1
Lumayan seru lah😄,1
Kenapa saya tidak bisa lagi menggunakan aplikasi ini,1
bagus bgt sumpah 🥺🥺,1
gua kasih lima karna bisa nonton film posting YouTube bagus la pokonya,1
Bagus,1
good ko,1
tarisya navisyah,1
oke,1
"🌟 Penilaian yang hebat 👍 Gudangnya video! Tutorial, musik, vlog, film semua ada. Rekomendasi videonya pinter banget sesuai selera. Kualitas 4K lancar, download offline juga bisa. Aplikasi terbaik!",1
hebat sekali pengrestorasiannyamobil yang udah lama di dalam god...berkarat..bisa baik lagi.. hebat..👍👍👍,1
pekerja U itu G tau sdr y Ghgf h,1
bisa di download video offline,1
baik,1
"Video pemutar TDK bisa berfungsi masih ada bug, suka menghancurkan akun",0
Bagus,1
Bikin pengalaman jadi lebih seru dan banyak infirasi ilmu pengetahuan,1
ahhh ahhh ahhh,0
sangat menghibur cuma iklan yg bikin jengkel keweeell,1
Kren,1
Terima kasih You Tube,1
Tapi kok lama ya loading nya tolong di perbaiki,1
Gila aja gue aja warna merah ya ampun deh ampun bang di rumah sakit perut gue mau tidur jam berapa nih anak muda jaman sekarang ketika kita pilih kasih tau ya allah ini mau mandi pagi jam setengah mampus gua aja baru mau mandi dulu ah biar ada iklan gratis loh ya buat kalian berdua sama dia aja yang ikut yang yang rame banget sama kamu itu apa wah parah banget deh sama siapa aja nih anak gaul itu ya kamu yang paling enak banget,1
Oke,1
Nelayan,1
🥰selama aku menggunakan aplikasi YouTube ini sangat baik dan juga bagus tolong kurangi iklan yah😁,1
bagus,1
Sangat bagus,0
kenapa aplikasi YouTube sdi ponsel ku suka kabur gambar nya,1
Bagus,1
cukup baik,1
aku suka aplikasinya bagus tapi youtub kusering louding dan paslouding tidak bisa nonton donlotannya juga tidak bisa dilihat itu bag atu bukan,0
"kenapa YouTube sekarang gak bisa ya? padahal udah di update dan tadi sore juga masih bisa pas malem nya udah gak bisa, padahal aplikasi ini bener bener favorit aku banget, tolong yaa YouTube perbaiki lagi",0
Yap ini sangat menghibur saat aku gak ada tiktok lagi (⁠≧⁠▽⁠≦⁠),1
aku suka banget,1
hebat dab kuat,1
Ok,1
makin busuk... kebanyakan iklan judolnya😡,0
𝐏𝐥𝐢𝐬 𝐝𝐨𝐧𝐠. 𝐢𝐭𝐮𝐧𝐲𝐚 𝐝𝐢𝐡𝐢𝐥𝐚𝐧𝐠𝐤𝐚𝐧. 𝐦𝐚𝐚𝐟 𝐯𝐢𝐝𝐞𝐨 𝐢𝐧𝐢 𝐭𝐢𝐝𝐚𝐤 𝐭𝐞𝐫𝐬𝐞𝐝𝐢𝐚. 𝐩𝐥𝐢𝐬,0
good,1
menarik,1
aplikasi di update knp malh gak bs di buka?,0
Puas,1
tolong ditingkatksn,0
semua hiburan ada mantap,1
baguss,1
cepat,1
aplikasi anj,0
Bagus,1
"menknton yaa""!!!!!",1
semakin banyak iklan.. iklan judol juga banyak ..harusnya diblokir hal seperti itu,0
Erasmus nompetus,1
ok,1
cukup membantu dlm banyak hal yg ingin kita ketahui.,1
tolong dong jangan ke banyakan iklan cape deh.......!,1
drag and drop kenapa tidak berfungsi setelah update?,0
pelajari,1
Terlalu jalan ya lambat,0
ok jos,1
bagus,1
ik,1
Sangat bagus,1
tolong hapus iklan iklan yang ada saya ter ganggu,1
"YouTube benerin search bar lu, auto complete nya masa kagak ada sih, gua mau uninstall ini aplikasi tapi gak bisa sih",0
di update gaa bisa,0
Saya tidak bisa update youtube tolong diperbaiki terima kasih,0
"saya senang dengan aplikasi ini, sangat membantu saya",1
good,0
gatau males pengen beli trek,1
💯👍👍👍👍👍👍👍👍👍👍👍,1
bagus banget,1
Tidak bisa masuk di apk youtube,1
belum bisa membuka youtube,0
tidak bisa beroprasi,0
mantap,1
😊﻿🎈 Happy Birthday!      🔥      🔥      🔥      💟      💟      💟      💟      💟      💟 🍰🍰🍰🍰🍰🍰🍰🍰 🍰🍰🍰🍰🍰🍰🍰🍰 🍰🍰🍰🍰🍰🍰🍰🍰 🍰🍰🍰🍰🍰🍰🍰🍰 👑👑👑👑👑👑👑👑,1
click you're rora Ch. 150k subscribe,1
gue kasih 5 aja,1
sangat bagus dan nyama dan tidak ada iklan nya,1
saya cuma mau buat konten dan akunya tiba2 di hapus mau login tapi ga bisa dan YouTube nya sekarang eror tolong di benarkan,0
bagus aja,1
Muaaantaaap bisa nonton yanto,1
lumayan buat nambah ilmu,1
Sangat di perlukan informasi nya,1
kenapa YouTube tiba-tiba gak bisa di gunakan.?,0
baik,1
aku suka-suka aja sih tapi ada vidio belum cukup umur,1
kenapa pas wifi bagus malah loading jadi males,1
jaiuwha,0
yuo tube aplikaai bagus tpi bisa tdak di perbaiki lgi.ada tidak iklanya durasi 1 jam 2 jam bgtu..untuk mutar musik 5 mnit iklannya 1 hari bgtu..bisa tdak tdak iklan..seperti slot.iklan judol ini..,0
bagua tapi banyak iklan tapi jarang kok,1
Mantap aja,1
Alikasi youtube,1
YouTube kereeen👍👍👍,1
saya sudah update tapi kok di suruh update lagi😠😠,0
"jadi males sekarang buka ini aplikasi,banyak iklan slotnya,sudah diblokir terus dihapus tetap aja nongol,",0
ada bug tidak bisa buka fullscreen landscape,1
kaga support,1
informasi nya sangat menarik,1
baik,1
dongo tolol udah gw update tetep gabisa dibuka dasar apk ga guna,0
Sya mau masuk,1
"bagus bgt!! perfect perfect, oh y knp ya KLO aku nonton mesti kluar sendiri, nah skarang malah gak bisa nontonn tapi respect si sama yg buat",1
baik,1
kuli bangunan,1
masih banyak bug yang merugikan,1
Ok,0
sangat menghibur,1
"kebanyakan iklan,masa tiap 1 menit iklan,udh gitu berbayar,ogah w mah",0
Sementara gk ada prolem,1
arlan Ganteng,1
Luqman khalrul Allam ARUL Dina aqla,1
seru banget pls buka lagi,1
Mantap,1
YOUTUBE sangat bagus aku sangat suka karena semua Ian Saia maun nonton semua Nia ada 💯👍💯💯😁,1
aktif ke youtube,1
aku kasih nilai 1 bintang itu bukan tanpa alasan soalnya nih hapeku waktu itu mati total ga tau kenapa eh beberapa tahun kemudian seperti sekarang eh tiba tiba yutube nya ga bisa ga jelas banget dah ini yutube.,0
gak bisa dibuka,0
Mantap,0
ok,0
Bgus,1
Aplikasi baagus,1
sangat baik,1
JELEK AMAT SIHH...,0
A N a e be your everything you need and th e be your everything you need and beautiful and th yang sedang memakai pakaian dan spesifikasi Sony Playstation PS,1
seruuuu!!banyak tontonan yang seruu:3,1
Apdet,1
"saya sangat kesal ketika ingin menonton video, tiba tiba YouTube update setiap hari",0
bagus banget yutub dulumah,1
bagus banget kalu mau cari gambar dan lagu di you tube tapi sayang tidak bisa aktif bagai mana cara memasang/aktifkan nya youtube,1
lelet,0
YouTube tolong perbaiki chat di live nya padahal chat live nya udah di aktifkan tapi chat dari penonton enggak muncul jadi penonton gua ilang gak mau nonton gara gara chat nya gak di baca tolong perbaiki chat di live,0
Rzor,1
bagus,1
bisa belajar dari yutube,1
masa devolopwr kek gini salah akun gogle saya di hapus lagi jadi gak bisa liat yotube,0
Alhamdulillah,1
"saya tidak bisa masuk dan jika saya masuk ke aplikasi nya saya akan keluar sendiri dan memunculkan tulisan ""YouTube tidak melengkapi"" itu membuat saya emosi",1
Mantp,1
Youtube itu hemat kota apalgi seru²,1
Mantap,1
Sangat membantu,1
Aku Suka,1
"tolonglah SISTEMNYA DI perbaiki supaya anak anak maupun dewasa bisa nonton YouTube lagi terus, enggak engbag dan tidak engheng pas mau di tonton sama anak anak maupun dewasa juga bisa di gunakan dengan baik, tolong ya di perbaiki Youtubenya supaya bisa di pakai lagi sama anak anak maupun dewasa juga ya 🙏🙏😔😔.",0
kenapa video aku kok gak bisa diputar lagi ya 😅,1
gimana caranya hapus akun kok nggak ada tolong 😩🙏 di buat 𓆏,0
saya menyukai YouTube karena apa yang kita cari pasti ada walau pun gak ada bok**,1
gak tau kenapa setiap nonton pasti ke skip 2 kali padahal belum liat 🥲 pas di puter ulang sama aja 🥲🥲,0
Bagus,1
aplikasi tolong d hapus... merusak otak anak,0
"ko subtitle nya ga berfungsi ya? buat nonton video orng luar jadi, gabisa semenjak update padahal sebelumnya bisa",1
Lama Download nya ngestak,0
Bagus,1
"Kok aku Gak bisa mask ke YouTube nya Ya, tolong bantuin dong😭",0
YouTube apa ini kenapa kau buat iklan lebih dari satu menit terus juga gak bisa di skip ini tolong di koreksi dulu sangat menganggu,0
"apk nya bug , kaya gak bisa baca selengkapnya postingan orang, + habi liat komen tiba tiba vidio nya malah ke atas hdhhh",0
bagus,1
gak bisa,1
Mantappp,1
Bagus,0
👍,0
Bagus,1
titi Jaroh 🏣🏠🏡🔙,1
ok mantap,1
YouTube Azmi,1
baik,1
tidak bisa keluar di latar belakang,1
Okes,1
"makin jelek,,makin runyek gambar nya",0
ok,1
{M}{U}{F}{i}{D},0
bagus,1
seru dan asik,1
bagus bisa nonton sepuas nya dan enak dengar lagu,1
s.,1
segini aja ya 🗿🗿🗿,1
ribet,0
mantap,1
wow,1
pekerja suwasta,1
ananta ayuning tias Serli ajeng pupita RENDi Wagio Tia rudi,0
Oke,1
waw yuo tube nya sangat bagus sikali,1
seruuu bangettt bisa nonton videoooo,1
karena ketike sudah iklan di pojok bawah kiri ada gambar aplikasi jadi mengganggu menonton Vidio menjadi gak enak gitu tolong diperhatikan dan diperbaiki plissssss,1
ok,1
sangat bagus untuk anak2 Dan kita👍👍👍,1
Tido ada pngalmn,0
sangat bangus,1
sayaa tidak bisa masuk akun saya,0
TDK bisa update terbaru ya youtub ku ini,1
bagis,1
Bagus,1
BAGUS BANGETTT WOI,1
verel,1
Youtube gak bisa dibuka,1
Gua gamis,1
sa nat bagus,1
Mantap,1
gua beri reting jelek karena ap karna ngebug vidio nya GK bisa ditonton dan kagak bisa bergerak GK ad suara cuman diem aj,0
nambah pengetahuan,1
saya tidak bisa dimasuki,0
Mantap,1
saya suka tapi sering login,1
"You tube tidak dapat dibuka, kenapa....",1
aku ke pantai sama keluarga ku,1
bagus,0
Banyak inpormasi,0
Sedikit ngeleg,0
mantap,1
Suka,1
Bagus,1
woy kambing gue buat vidio kok giliran di cari filternya ga kan as*,0
Bagus bisa nonton YouTube Rewind 2021 edit: lupa jier klo dulu nge rating YouTube 😹😹 mana 2021 lagi😹,1
Karena tidal bisa menonton mohon berikan informasi,0
"banyak iklan judoll, iklan negatif",0
ya suka,1
Andan,0
"oke, Baik",1
ap ko gk bisa download,1
Baik dan ok,1
Baik,1
Sangat jelek karna gak ada bokep,0
"aplikasi hiburan yg menyenangkan , bisa untuk menonton, menedengarkan musik dan masih banyak lagi hiburan yg d tawarkan good job 👍🏻",1
aku suka YouTube tapi suka ada iklan tpi gpp 5!!,1
Jujur aplikasi ini sangat bagus tapi saat disuruh login padahal internet saya itu sangat bagus pakai wi-fi dan pakai data tapi kok malah pas disuruh login aku mencet login tetapi tidak bisa tolong diperbarui lagi ya YouTube sekian terima kasih,1
gak bisa buka YouTube tidak dapat mengakses produk google katanya udah aku isi semua tapi tetep gak bisa,0
Tolong untuk subscription premium agar harga ny di kurang jadi 45.000/bulan 🙏,0
baguus,1
the bezt,1
Gabisa melihat menonton,0
Terima kasih untuk sarananya kedepan lebih fleksibel.,1
Nice.,1
depita sayidah,1
Hariyanto,1
tidak bisa dipakai,0
oke,1
Dxxxddddedđmllli,1
mantap tanpa youtube jadi gampang tutorial nya ada gambar dan video seru,1
Alifa dan Ftiri,1
bagus,1
enggak ada,1
👍👍,1
bagus,1
ya giamana,0
Tidak bisa login di youtube,1
"bagus tapi YouTube ku sekarang gak bisa dipakai, kayak pas dibuka keluar semua vidio tapi pas dipencet gak bisa gerak semua vidionya/",1
sangat menghibur,1
"Nekat update tapi tidak menjadi sebuah solusi yang bagus, kembalikan seperti sebelumnya saja",1
saya sangat suka,1
sangat membantu,1
iklan 10 menit gak bisa di skip keren,0
good,1
OK bgt,1
sangat membantu sekali,1
wi-fi nya kenceng banget tapi masih lama terus download-nya lama alias ngapdet,0
update,1
"aku suka nonton di YouTube tapi mode terbatasnya suka mati hidup muluk!, dan aku gak bisa matiin mode terbatasnya jadinya kalau made terbatasnya hidup aku gak bisa baca atau tulis komen 😓 tolong dong pihak YouTube mode terbatasnya dimatiin atau setidaknya aku bisa matiin sendiri 😓😥🥲",1
upin ipin,1
Amazing,1
MinWEL,1
"bertahun-tahun saya langganan YouTube premium, cuma beberapa bulan ini sering bermasalah ketika pemutaran. memainkan di belakang layar tiba-tiba berhenti sendiri, mati sendiri tanpa sebab apapun.",0
munyu,0
beri,1
Good,1
aku suka sekali,1
Bagus,1
Rainan al raihan,1
knpa yaa stiap aku mau lihat YouTube keluar login loginan?,1
sangat menarik bagi saya,1
ok,1
tidak bisa di buka,0
Masyarakat Madani,0
you tube,1
karena tidak memutar video yang kita mau nonton,0
Keren sumpah~!,1
kenapa harus update terus..,0
Karana bikin anak diam liat youtup pokoknya bagus deh buat youtube dan tampilkan vidio yang lebih bagus,1
asyik,1
Perangkat saya tdk kompetibel,1
"aplikasi apa ini, tau2 mati di suruh update ulang",0
tolong aktifkan youtub di aplikasi hp ini,1
gabung dengan you tube,0
Naga bisa di buka Didaka eror,1
Ok,1
Bagus,1
gunmrilt Masgi tasun,1
bagushh,1
YouTube YouTubeyoutube,1
saya harap video video pejabat pemerintah dihapus dari YouTube karena menggangu kenyamanan saya,0
bagus,1
iklan sangat mengganggu,1
kerja baanguan,1
kerwn,1
mantap banget hasil nya,1
YouTube susah di ubdet ni,1
Terserah aku lah,0
aplikasi yang sangat bagus buat nonton video apalagi kalau mau makan pasti liat video sambil makan❤❤❤❤❤,1
"Setelah 1 tahun lebih jejak riwayat penelusuran ku tidak kelihatan, akhirnya hari ini nongol sendiri dia, padahal udh sgala mcam aku lakukan utk memulihkan nya. dan setelah nongol lagi keliatan lah riwayat pencarian ku udah kayak kereta api panjangnya.",0
selalu pas liat YouTube pasti ada tulisan tutup aplikasi waahhh ga bener niiiii tolong di ganti yach,0
kebanyakan iklan,0
di hp ku asus ga bisa pakai youtube :(,0
Aplikasi ini bagus sekali,1
Bagus sekali,0
sangat bagus,1
konten konten sampah tidak mendidik banyak forno nya 👎👎,0
agus top markotop,1
bagus,1
Tidak bisa login,1
baik,1
Saya kasih Bintang 5 deh soalnya seru Nonton film👍👍👍👍🥰🥰🥰🥰,1
untuk aplikasi youtube di tv lebih baik di seperti sebelumnya di split untuk ytkids nya,1
woi youtube nya gabisa di update ajg,0
Osertigmil. Com,0
"wkwkkw iklan judi online Mulu, tiap kali ikan kalau gak di sekip bisa 1 album lagu yang gak banget makin tahun gak ada perkembangan",0
updet,1
Sangat buruk,0
"Please, setting YouTube Shorts an auto scroll feature",0
mantap,1
Sang at mqntap,1
"ada beberapa bug 1. ketika short di pause kemudian buka aplikasi lain, kemudian kembali ke yt, video short black screen / blank, harus scroll dulu agar video muncul 2. ketika short di tekan agar kecepatan video 2x, ketika jari dilepas atau tidak ditekan, video tetap jalan 2x, tidak kembali ke kecepatan default tolong diperbaiki bug minor tersebut. karena saya juga sudah sering mengirim saran masukan terkait bug yt terimakasih.",0
tidak bisa youtubeny,0
sangat menghibur hati.,1
air,1
Fulfilled degdegan waktu Dfgjjjjhduutr ccccgvvvvvjjigg,1
Akun ini Sa bisa jadi pilihan yang,1
aplikasi nya sering aneh gitu terus pas buat vidio malah ga bisa juga aku lagi mau masuk kin ke perangkat malah ga bisa aneh banget jadi mohon diperbaiki 🙏,0
sangat bagus,1
iya,1
saya tidak suka YouTube 🤬 karena pas saya konten di YouTube langsung di blokir kayak gitu pas saya konten saya sia sia konten bikin cape cape 😡🤬,0
like,1
tidak bisa di pakai,0
"Tolong dong perbaikin Bug nya, masa aku nonton Video shorts gak bisa di skip, komennya suka gak ada, trs gak bisa liat postingan orang lain (Kalo Teks di postingan panjang gak bisa di liat) 😩💔",0
Bagus,1
bagus,1
Oke banget...,1
"iklan nya judol semua kacau, walaupun ga premium iklan nya yg layak buat masyarakat lah, jangan game' berbau judol",0
Tidak bisa sih ka,0
banyak iklan,0
Suka keblokir aja,1
ceo flm Korea ip 18,0
tidak berfaedah,0
tidak bisa dibuka,0
terbaik,1
sangat tidak berguna,1
kenapa tidak kompitable...,1
U6h ob,1
keren,1
Mau bikin pengalaman konten pak,1
"SATTT 1 video iklane 2-3x TO LOL BGST, iklan kok 1 jam 2jam 3 jam 4 jam 10 jam knpa gk sekalian 24 jam GO BLOK,",0
bagus banget keren,1
You tube tidak bisa di buka,0
😂▄︻̷̿┻̿═━一akwr,1
Yutubnya sangat bagus tapi punyak saya kok gak bisa di buka😢,1
layar nya kecil kalo mau bikin vid shorts terus juga pas mau ngupload vid lama banget loading nya udah gitu masuk ke apk nya ga bisa lagi harus diupdate kah?,1
blm bisa,1
Yutub sangat istimewa,1
senang,0
Good,1
Bgus,1
Yutub susah terhubung mohon diaktifkan,0
Nagus,1
ditiru di go do di eh c id di ya di dll sr iya nih kangen kamu juga cantik dan tampan pada zodiak lain juga ya buat kamu mah yang bisa membuat saya juga sih kalo ada orang tua aja ya biar ada di depan wanita yang paling suka dengan baik hati gue aja baru aja mau ke bandung nih gue di rumah sakit hati yang mau jadi anak muda itu apa yang ada dalam album baru nya juga sih ya jadi kamu yang suka cowok ganteng itu adalah saat kamu yang suka sama dia itu mah elu mah beda lagi di Jakarta Selatan iya d,1
sangat membantu,1
You Tube,1
ok,1
Ko youtube nya Tidak bisa di buka?!,0
yayat.sunandar,1
Youtube tidak kompitaibel dengan hp oppo a37f,1
ok,1
error,0
Mantapla pokoknya,1
you =Aksoro YO +HO dipangku dan diwuluBebunyi YOU.....TUBE(tutup/🤣,1
memuaskan,1
Knapa saya tidak bisa update,0
Pada tahun yang sama dengan,1
mantap,0
Kok saya gak bisa login Knp nyak?,0
good,1
Woyy ini kenapa thumbnailnya pada geser dah,1
Mantap,1
Banyak iklan min,0
bantu buka,0
Bagus,1
mantap,1
gak updad,1
Youtub saya tidak bisa d buka,1
Tidak bisa di gunakan,1
sangat bagus sekali,1
mantap,1
"kebayakan iklan gabisa di skip, terus belum nyampe 10 menit udh masuk lagi",0
iklan panjang gak bisa di skip,0
kyhbaft kayjdt kaysbjaftt,1
Baru saja saya menggunakan,1
di video short nya byk bug nya...video nya pecah pecah bikin sakit mata,0
"aplikasi TERtolol banyak bug data Subscriber nggak ke baca dengan benar, upload video udah 3 hari 0 views semua nggak jelas aplikasi tolol, VIDEO TANPA PROMOSI 1RIBU VIEWS 0 SUBSCRIBER VIDEO DENGAN PROMOSI CUMAN 200VIEWS TAPI DAPAT 4 SUBSCRIBER ANYING GUA KEK MAINAN APLIKASI TOLOL APLIKASI NGURAS DUIT ANYING BILANG AJA BUTUH DUIT NGGAK USAH PAKE KATA2 PROMOSI ADA NGGAK SIH APLIKASI PENGGANTI YOUTUBE WOI CHINA BIKIN APLIKASI SERUPA YOUTUBE GUA 100% PINDAH",0
Ole,1
sangat bagus untuk menonton dan mencari hiburan,1
"kenapa aplikasi ini tidak bisa digunakan, dan tidak bisa di update?",0
sangat amat penting untuk menonton video yang ketinggalan di tv,1
Sangat puas,1
"bagus gampang liat acaranya ,gampang di cari",1
YouTube sering eror jika kita menginstal hp jadi minta di update lagi,1
"Woowww aplikasi yang sangat keren dan favourite, saya bisa mendapatkan tontonan video yang di saya suka dari mulai tutorial, olahraga, musik , film , hiburan dan lain lain. Mantaap...!!!!",1
ok,1
anjaii slebew cuakk,1
tolong buka kembali YouTube,1
oke,1
ok,1
YOUTUBE BALIKIN SUBTITLE AKU! PLS 😔,0
aplikasi yg sangat bagus,1
op,0
ngebug nya tolol,0
yes aku perlu penting,1
ok,1
tidak bisa di lihat gambar nya,1
Good,1
sekarang gak bisa melihat postingan secara detail,0
Bagus,1
Bagus,1
"halo admin, overall sudah bagus, kenapa ada bugnya, yaitu like, dan menu subscribe (yang diatas komen) kenapa hilang ya? mohon diperbaiki",1
ga bisa dengern musik layar mati,0
Bagus,1
yt gaje sinyal gua bagus tapi waktu pencet video nya muter² terus,0
hello maaf saya ingin aplikasi you tube terima kasih,0
semoga bisa,1
Oke,1
🤟🤟🤟🤟,1
Bagus sekali,1
youtube busuk di update gk bisa,0
YouTube forever..,1
You Tube sangat membantu saya,1
Mantap,1
bagus banget,1
Udel,0
No saya di blokir,1
ya baik,1
kenapa tidak bisa dibuka,1
sengaja aku kasi reting bintang 5 biar keliatan kritiknya plis deh ini YouTube kenapa si padahal di rumah pasang wifi and jaringannya bagus' aja apalagi cuma 2 hp doang tapi ini setiap buka video muter terus kenapa ya tolong dong di perbaiki sampe di refresh berkali-kali ttp ga bisa cache nya jg udah di bersihin ttp ga bisa mana nungguin muter doang jg lama bngtt apalagi bagian translate kadang ga berfungsi sampe harus ngulang buka YouTube berkali-kali,1
Terbaik,1
Bagus,1
sangat baik,1
pasker,1
menyenangkan,1
"setelah update, video pencarian gak bisa lagi putar otomatis, iklan tambah banyak kadang gak bisa di skip",1
kebanyakan iklan bikin kesel,0
manteo,1
bagus banget aplikasi ini enak dengar lagu sama musik ny😍,1
baik,1
"heh YouTube, gua gak masalah sama iklan tapi kurang2 in iklan pinjol ya. muak bgt sama ada pundi, ada kami, finplus, dll",0
kenapa saya tidak bisa apdet yt,0
sangat bagus,1
opsional,1
Sangat memuaskan,1
iklan nya makin parah,0
ceramah,1
sangat mengagumi ini,1
mantap,1
"kecewa kenapa gk bisa di perangkat saya,tolong perbaiki lagi",0
sangat membantu,1
oc ok,1
terlalu banyak iklan,0
Menyenangkan,1
Karoke dangdut,0
gajelas,0
bagus sih buat nonton tolong perbaiki salah satu bug ini seperti kita lagi nonton kita tahan layar kecepatannya 2X eh tiba tiba videonya mati sama video short kaya ga aktif lalu saat keluar ulang sama saja tolong perbaiki lagi 🙏,1
ini ngapa iklan nya selot Mulu.,0
gua ngga bisa Download aplikasi ini,0
kurang Bagus dee,1
stresssss,0
hapus iklan judol monyet,0
Enak,1
good,1
tidak bisa terbukaa dan gatauuu,0
bagus,1
Lcantik,1
Gak Bisa Di settel,1
bagus gt bu tapi ubur-ubur evi di go go,1
TT to,1
sangat bagus,1
Sagat bagus,1
yubtube,1
afifah pratitis 6@,1
tahan taya degan bola,1
eki ❤🇮🇩,1
kenapa tidak bisa di update,0
bikin nggak bosan lagi kalo pakek aplikasi ini😁😁😁,1
Udi Utomo,1
wow,1
saya Bisa menonton filem bagus,1
bagus,1
aku suka,1
Sangat bagus,1
Ok,1
Bagus,1
😴😴😴,0
senang pakai youtube,1
saya sangat senang mengunakan aplikasi YouTube karena bisa upload video,1
kenapa gak bisa gak ada skip iklan ga lagi terus sama iklan video dia harus bug atau kenapa,0
ok,1
halo admin knp sering update,0
"Selalu minta update tapi tampilan tetap sama aja, gak ada pilihan tema. Aplikasi bagus, tolong ditambah pilihan tema kalau bisa.",1
tolong dibantu ini gak bisa-bisa youtube,1
"zumara com,,,,",0
Mantaap,1
susah log in,0
karna tidak bisa di buka,1
terlalu banyak iklan,0
na nak nak,1
oke....,1
gua ga bisa download,0
Kok ngak bi di pakai aplioasi ini,0
bagus bgt enak nonton youtube di banding dengan main game 🤭,1
sangat membantu,1
banyak x iklan mu,0
mantap,1
